CalYear,YearMonth,daily_fire_count
2009,2009-01,1892
2009,2009-02,1838
2009,2009-03,2494
2009,2009-04,2690
2009,2009-05,3034
2009,2009-06,2929
2009,2009-07,2608
2009,2009-08,2858
2009,2009-09,2941
2009,2009-10,2684
2009,2009-11,1974
2009,2009-12,1649
2010,2010-01,1702
2010,2010-02,1465
2010,2010-03,2102
2010,2010-04,2498
2010,2010-05,2549
2010,2010-06,2958
2010,2010-07,4278
2010,2010-08,2510
2010,2010-09,2001
2010,2010-10,1950
2010,2010-11,1905
2010,2010-12,1549
2011,2011-01,1641
2011,2011-02,1571
2011,2011-03,2140
2011,2011-04,2915
2011,2011-05,3274
2011,2011-06,2141
2011,2011-07,2486
2011,2011-08,2636
2011,2011-09,1976
2011,2011-10,2509
2011,2011-11,1859
2011,2011-12,1699
2012,2012-01,1682
2012,2012-02,1658
2012,2012-03,2201
2012,2012-04,1770
2012,2012-05,1932
2012,2012-06,1680
2012,2012-07,1776
2012,2012-08,1946
2012,2012-09,2177
2012,2012-10,1520
2012,2012-11,1672
2012,2012-12,1429
2013,2013-01,1400
2013,2013-02,1474
2013,2013-03,1553
2013,2013-04,1809
2013,2013-05,1936
2013,2013-06,1934
2013,2013-07,2876
2013,2013-08,2093
2013,2013-09,1631
2013,2013-10,1514
2013,2013-11,1582
2013,2013-12,1356
2014,2014-01,1200
2014,2014-02,1220
2014,2014-03,1798
2014,2014-04,1801
2014,2014-05,1728
2014,2014-06,2048
2014,2014-07,2022
2014,2014-08,1761
2014,2014-09,1736
2014,2014-10,1544
2014,2014-11,1350
2014,2014-12,1414
2015,2015-01,1416
2015,2015-02,1264
2015,2015-03,1676
2015,2015-04,2080
2015,2015-05,1947
2015,2015-06,2350
2015,2015-07,2466
2015,2015-08,1821
2015,2015-09,1495
2015,2015-10,1595
2015,2015-11,1464
2015,2015-12,1349
2016,2016-01,1294
2016,2016-02,1384
2016,2016-03,1527
2016,2016-04,1609
2016,2016-05,1959
2016,2016-06,1422
2016,2016-07,2097
2016,2016-08,2422
2016,2016-09,1813
2016,2016-10,1851
2016,2016-11,1593
2016,2016-12,1407
2017,2017-01,1305
2017,2017-02,1158
2017,2017-03,1618
2017,2017-04,2321
2017,2017-05,1863
2017,2017-06,2025
2017,2017-07,1965
2017,2017-08,1547
2017,2017-09,1427
2017,2017-10,1711
2017,2017-11,1565
2017,2017-12,1351
2018,2018-01,1276
2018,2018-02,1221
2018,2018-03,1262
2018,2018-04,1393
2018,2018-05,1739
2018,2018-06,2118
2018,2018-07,3213
2018,2018-08,1736
2018,2018-09,1606
2018,2018-10,1582
2018,2018-11,1408
2018,2018-12,1107
2019,2019-01,1335
2019,2019-02,1160
2019,2019-03,1414
2019,2019-04,1665
2019,2019-05,1866
2019,2019-06,1624
2019,2019-07,1931
2019,2019-08,1665
2019,2019-09,1722
2019,2019-10,1243
2019,2019-11,1203
2019,2019-12,1154
2020,2020-01,1215
2020,2020-02,1097
2020,2020-03,1357
2020,2020-04,1646
2020,2020-05,2127
2020,2020-06,1725
2020,2020-07,1735
2020,2020-08,1766
2020,2020-09,1585
2020,2020-10,1003
2020,2020-11,1175
2020,2020-12,970
2021,2021-01,945
2021,2021-02,992
2021,2021-03,1286
2021,2021-04,1769
2021,2021-05,1210
2021,2021-06,1417
2021,2021-07,1265
2021,2021-08,1189
2021,2021-09,1232
2021,2021-10,1161
2021,2021-11,1407
2021,2021-12,1050
2022,2022-01,1152
2022,2022-02,1099
2022,2022-03,1369
2022,2022-04,1737
2022,2022-05,1593
2022,2022-06,1851
2022,2022-07,3134
2022,2022-08,2692
2022,2022-09,1205
2022,2022-10,1309
2022,2022-11,1056
2022,2022-12,1084
2023,2023-01,1120
2023,2023-02,1229
2023,2023-03,1074
2023,2023-04,1218
2023,2023-05,1470
2023,2023-06,1933
2023,2023-07,1601
2023,2023-08,1457
2023,2023-09,1463
2023,2023-10,1285
2023,2023-11,1153
2023,2023-12,1108
2024,2024-01,1287
2024,2024-02,1059
2024,2024-03,1130
2024,2024-04,1283
2024,2024-05,1307
2024,2024-06,1740
2024,2024-07,1626
2024,2024-08,1781
2024,2024-09,1347
2024,2024-10,1166
2024,2024-11,1344
2024,2024-12,1062
