CalYear,PropertyCategory,fire_count
2009,Aircraft,4
2009,Boat,8
2009,Dwelling,6976
2009,Non Residential,2644
2009,Other Residential,621
2009,Outdoor,8590
2009,Outdoor Structure,7334
2009,Rail Vehicle,14
2009,Road Vehicle,3400
2010,Aircraft,1
2010,Boat,12
2010,Dwelling,6876
2010,Non Residential,2620
2010,Other Residential,598
2010,Outdoor,8047
2010,Outdoor Structure,6447
2010,Rail Vehicle,13
2010,Road Vehicle,2853
2011,Aircraft,5
2011,Boat,15
2011,Dwelling,6733
2011,Non Residential,2614
2011,Other Residential,446
2011,Outdoor,7222
2011,Outdoor Structure,7215
2011,Rail Vehicle,9
2011,Road Vehicle,2588
2012,Aircraft,6
2012,Boat,10
2012,Dwelling,6548
2012,Non Residential,2222
2012,Other Residential,467
2012,Outdoor,4642
2012,Outdoor Structure,5457
2012,Rail Vehicle,12
2012,Road Vehicle,2079
2013,Aircraft,4
2013,Boat,16
2013,Dwelling,6271
2013,Non Residential,2251
2013,Other Residential,481
2013,Outdoor,4922
2013,Outdoor Structure,5280
2013,Rail Vehicle,22
2013,Road Vehicle,1911
2014,Aircraft,3
2014,Boat,13
2014,Dwelling,5941
2014,Non Residential,1948
2014,Other Residential,386
2014,Outdoor,4220
2014,Outdoor Structure,5078
2014,Rail Vehicle,13
2014,Road Vehicle,2020
2015,Aircraft,3
2015,Boat,7
2015,Dwelling,5888
2015,Non Residential,2144
2015,Other Residential,378
2015,Outdoor,5069
2015,Outdoor Structure,5427
2015,Rail Vehicle,9
2015,Road Vehicle,1998
2016,Aircraft,2
2016,Boat,12
2016,Dwelling,5605
2016,Non Residential,1992
2016,Other Residential,287
2016,Outdoor,4810
2016,Outdoor Structure,5357
2016,Rail Vehicle,9
2016,Road Vehicle,2304
2017,Aircraft,2
2017,Boat,20
2017,Dwelling,5648
2017,Non Residential,2096
2017,Other Residential,329
2017,Outdoor,4658
2017,Outdoor Structure,4891
2017,Rail Vehicle,11
2017,Road Vehicle,2201
2018,Aircraft,3
2018,Boat,12
2018,Dwelling,5490
2018,Non Residential,1827
2018,Other Residential,327
2018,Outdoor,5280
2018,Outdoor Structure,4657
2018,Rail Vehicle,13
2018,Road Vehicle,2052
2019,Aircraft,6
2019,Boat,14
2019,Dwelling,5281
2019,Non Residential,1728
2019,Other Residential,294
2019,Outdoor,4355
2019,Outdoor Structure,4393
2019,Rail Vehicle,13
2019,Road Vehicle,1898
2020,Aircraft,2
2020,Boat,11
2020,Dwelling,5057
2020,Non Residential,1456
2020,Other Residential,233
2020,Outdoor,5350
2020,Outdoor Structure,3796
2020,Rail Vehicle,16
2020,Road Vehicle,1480
2021,Aircraft,1
2021,Boat,12
2021,Dwelling,4914
2021,Non Residential,1350
2021,Other Residential,230
2021,Outdoor,3558
2021,Outdoor Structure,3410
2021,Rail Vehicle,21
2021,Road Vehicle,1427
2022,Aircraft,4
2022,Boat,15
2022,Dwelling,5065
2022,Non Residential,1709
2022,Other Residential,234
2022,Outdoor,6260
2022,Outdoor Structure,4536
2022,Rail Vehicle,18
2022,Road Vehicle,1440
2023,Aircraft,5
2023,Boat,17
2023,Dwelling,4753
2023,Non Residential,1605
2023,Other Residential,255
2023,Outdoor,4155
2023,Outdoor Structure,3860
2023,Rail Vehicle,17
2023,Road Vehicle,1444
2024,Aircraft,4
2024,Boat,12
2024,Dwelling,4643
2024,Non Residential,1498
2024,Other Residential,240
2024,Outdoor,4237
2024,Outdoor Structure,4101
2024,Rail Vehicle,24
2024,Road Vehicle,1373
